HwTrapBody(id=null, newOrClear=2, trapId=414894563, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 01:47:57, alarmClearedTime=2025-05-04 07:12:01, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414941817, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=GZN040, siteName=GZN040_UL, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=GZNU040, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 10:59:22, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414950032, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=KBL052, siteName=KBLU052_MICROYAN_E_CHAR_(VDTC)_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=KBLU052, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 12:09:03, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414950032, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=KBL052, siteName=KBLU052_MICROYAN_E_CHAR_(VDTC)_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=KBLU052, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 12:09:03, alarmClearedTime=2025-05-04 12:09:09, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414952359, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=KBL052, siteName=KBLU052_MICROYAN_E_CHAR_(VDTC)_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=KBLU052, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 12:37:52, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414952359, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=KBL052, siteName=KBLU052_MICROYAN_E_CHAR_(VDTC)_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=KBLU052, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 12:37:52, alarmClearedTime=2025-05-04 12:38:28, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414953407, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=KBL052, siteName=KBLU052_MICROYAN_E_CHAR_(VDTC)_CPX_P1, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=KBLU052, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 12:49:59, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414953407, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=KBL052, siteName=KBLU052_MICROYAN_E_CHAR_(VDTC)_CPX_P1, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=KBLU052, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 12:49:59, alarmClearedTime=2025-05-04 12:50:51, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414959768, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=KBL506, siteName=KBL506_UL_NAYAB, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU506, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 14:22:46, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414959768, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=KBL506, siteName=KBL506_UL_NAYAB, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU506, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-04 14:22:46, alarmClearedTime=2025-05-04 14:24:45, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414904563, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-10-18 16:06:25, alarmClearedTime=2007-10-19 02:55:50, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414992338, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-10-19 12:13:19, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414992338, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-10-19 12:13:19, alarmClearedTime=2007-10-19 12:44:34, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=414995053, alarmCode=65068, alarmName=NodeB Rectifire Failure, siteId=GZN012, siteName=GZNU012_Ariana Hotel Muqur_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=125, alarmServiceType=3G, displaySiteId=GZNU012, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2007-10-19 13:03:27, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=414502243, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=MZR022, siteName=MZR022_UL_CPX_P3, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU022, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-04-30 09:16:44, alarmClearedTime=2025-05-05 04:22:39, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=415004534, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=MZR022, siteName=MZR022_UL_CPX_P3, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=MZRU022, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-05 04:22:47, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=415014964, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=KBL530, siteName=KBL530_UL_OPEX_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU530, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-05 06:21:54, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=415014964, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=KBL530, siteName=KBL530_UL_OPEX_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU530, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-05 06:21:54, alarmClearedTime=2025-05-05 06:22:21, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=1, trapId=415015731, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=KBL530, siteName=KBL530_UL_OPEX_AITG, alarmSeverity=2, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU530, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-05 06:31:20, alarmClearedTime=, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
HwTrapBody(id=null, newOrClear=2, trapId=415015731, alarmCode=65068, alarmName=NodeB Rectifier Failure, siteId=KBL530, siteName=KBL530_UL_OPEX_AITG, alarmSeverity=6, alarmEventType=2, alarmNetType=194, alarmServiceType=3G, displaySiteId=KBLU530, alarmFaultCause=null, alarmFaultClass=null, alarmArrivalTime=2025-05-05 06:31:20, alarmClearedTime=2025-05-05 06:32:15, alarmNodeBId=null, alarmCellId=null, alarmRncId=null)
